"STATION","NAME","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFI","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFI","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT13","WT14","WT16","WT18","WT21","WV01","WV03","WV20"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-01","   60","   40",,," 1318","0.00","0.0","0.0",,"75","54",,,,,"  270","  270",,,,,,"17.2","17.0",,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-02","   80","   50",,," 1542","0.00","0.0","0.0",,"66","55",,,,,"  270","  270",,,,,,"13.9","14.1",,"    1","    1",,,,,,"    1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-03","   90","   90",,," 1406","0.00","0.0","0.0",,"65","57",,,,,"  270","  270",,,,,,"16.1","16.1",,"    1",,,,,,,"    1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-04","   90","  100",,," 1342","0.00","0.0","0.0",,"66","57",,,,,"  270","  270",,,,,,"15.0","15.0",,,,,,,,,"    1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-05","   90","  100",,," 1412","0.00","0.0","0.0",,"69","59",,,,,"  270","  270",,,,,,"11.4","12.1",,,,,,,,,"    1",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-06","  100","  100",,," 2248","0.03","0.0","0.0",,"66","59",,,,,"  270","  270",,,,,,"17.2","17.0",,"    1",,,,,,,"    1",,,,,,"    1",,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-07","   50","   60",,," 1600","0.00","0.0","0.0",,"68","57",,,,,"  270","  270",,,,,,"21.9","21.9",,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-08","   20","   30",,," 1506","0.00","0.0","0.0",,"74","53",,,,,"  270","  270",,,,,,"15.0","15.0",,,,,,,,,,,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-09","   40","   60",,," 1454","0.00","0.0","0.0",,"75","55",,,,,"  270","  270",,,,,,"17.2","17.0",,,,,,,,,"    1",,,,,,,,,,,
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","1970-11-10","   50","   30",,," 1148","0.00","0.0","0.0",,"66","55",,,,,"  270","  270",,,,,,"15.0","15.0",,"    1","    1",,,,,,"    1",,,,,,,,,,,
